,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
113,watches_gifts,watches_gifts,,,,,,,,,,,,,,,,,,,,,,
114,health_beauty,health_beauty,health_beauty,health_beauty,,,,,,,,,,,,,,,,,,,,
115,bed_bath_table,furniture_living_room,,,,,,,,,,,,,,,,,,,,,,
116,furniture_decor,furniture_decor,,,,,,,,,,,,,,,,,,,,,,
117,bed_bath_table,bed_bath_table,,,,,,,,,,,,,,,,,,,,,,
118,electronics,electronics,,,,,,,,,,,,,,,,,,,,,,
119,health_beauty,health_beauty,,,,,,,,,,,,,,,,,,,,,,
120,computers_accessories,computers_accessories,,,,,,,,,,,,,,,,,,,,,,
121,sports_leisure,sports_leisure,,,,,,,,,,,,,,,,,,,,,,
122,bed_bath_table,bed_bath_table,,,,,,,,,,,,,,,,,,,,,,
123,dvds_blu_ray,computers_accessories,,,,,,,,,,,,,,,,,,,,,,
124,health_beauty,baby,,,,,,,,,,,,,,,,,,,,,,
125,furniture_decor,furniture_decor,furniture_decor,,,,,,,,,,,,,,,,,,,,,
126,bed_bath_table,bed_bath_table,,,,,,,,,,,,,,,,,,,,,,
127,health_beauty,health_beauty,,,,,,,,,,,,,,,,,,,,,,
128,garden_tools,garden_tools,,,,,,,,,,,,,,,,,,,,,,
129,computers_accessories,computers_accessories,,,,,,,,,,,,,,,,,,,,,,
130,electronics,electronics,,,,,,,,,,,,,,,,,,,,,,
131,costruction_tools_tools,costruction_tools_tools,,,,,,,,,,,,,,,,,,,,,,
132,pet_shop,pet_shop,,,,,,,,,,,,,,,,,,,,,,
133,consoles_games,consoles_games,consoles_games,consoles_games,consoles_games,,,,,,,,,,,,,,,,,,,
134,sports_leisure,sports_leisure,,,,,,,,,,,,,,,,,,,,,,
135,fixed_telephony,housewares,,,,,,,,,,,,,,,,,,,,,,
136,bed_bath_table,health_beauty,bed_bath_table,bed_bath_table,bed_bath_table,,,,,,,,,,,,,,,,,,,
137,housewares,housewares,,,,,,,,,,,,,,,,,,,,,,
138,furniture_decor,furniture_decor,,,,,,,,,,,,,,,,,,,,,,
139,furniture_decor,furniture_decor,,,,,,,,,,,,,,,,,,,,,,
140,computers_accessories,computers_accessories,,,,,,,,,,,,,,,,,,,,,,
141,furniture_decor,furniture_decor,,,,,,,,,,,,,,,,,,,,,,
142,office_furniture,office_furniture,office_furniture,office_furniture,office_furniture,,,,,,,,,,,,,,,,,,,
143,bed_bath_table,furniture_decor,,,,,,,,,,,,,,,,,,,,,,
144,pet_shop,pet_shop,,,,,,,,,,,,,,,,,,,,,,
145,baby,sports_leisure,,,,,,,,,,,,,,,,,,,,,,
146,sports_leisure,sports_leisure,,,,,,,,,,,,,,,,,,,,,,
147,toys,toys,toys,toys,toys,,,,,,,,,,,,,,,,,,,
148,home_appliances,home_appliances,,,,,,,,,,,,,,,,,,,,,,
149,telephony,electronics,,,,,,,,,,,,,,,,,,,,,,
150,watches_gifts,watches_gifts,,,,,,,,,,,,,,,,,,,,,,
151,housewares,housewares,furniture_decor,,,,,,,,,,,,,,,,,,,,,
152,housewares,baby,baby,,,,,,,,,,,,,,,,,,,,,
153,stationery,stationery,,,,,,,,,,,,,,,,,,,,,,
154,furniture_decor,furniture_decor,,,,,,,,,,,,,,,,,,,,,,
155,bed_bath_table,bed_bath_table,bed_bath_table,,,,,,,,,,,,,,,,,,,,,
156,telephony,telephony,,,,,,,,,,,,,,,,,,,,,,
157,perfumery,perfumery,,,,,,,,,,,,,,,,,,,,,,
158,housewares,housewares,housewares,furniture_living_room,furniture_living_room,furniture_living_room,,,,,,,,,,,,,,,,,,
159,art,art,art,art,art,art,,,,,,,,,,,,,,,,,,
160,pet_shop,pet_shop,,,,,,,,,,,,,,,,,,,,,,
161,computers_accessories,housewares,,,,,,,,,,,,,,,,,,,,,,
162,furniture_decor,furniture_decor,furniture_decor,furniture_decor,,,,,,,,,,,,,,,,,,,,
163,telephony,telephony,,,,,,,,,,,,,,,,,,,,,,
